close,high,low,open,timestamp,volume
15709,15982,15588,15954,1669057200,449.19764490
15772,15865,15702,15702,1669060800,247.53547611
15632,15826,15479,15771,1669064400,416.14398910
15720,15842,15602,15620,1669068000,572.62049524
15766,15826,15705,15719,1669071600,208.35863326
15844,15932,15729,15757,1669075200,165.05026803
15789,15872,15782,15843,1669078800,108.29670436
15864,15879,15748,15787,1669082400,401.19247529
15821,15889,15815,15872,1669086000,64.83561577
15798,15835,15787,15823,1669089600,104.16389412
15781,15849,15760,15797,1669093200,134.93621170
15657,15793,15651,15778,1669096800,85.64956148
15735,15748,15613,15662,1669100400,94.08411076
15705,15741,15649,15738,1669104000,117.47196933
15675,15744,15656,15709,1669107600,111.39606695
15774,15790,15643,15666,1669111200,94.20461360
15724,15778,15692,15776,1669114800,83.11929341
15814,15828,15676,15725,1669118400,197.27116727
16148,16176,15808,15813,1669122000,534.32069813
16092,16189,16023,16148,1669125600,186.07231944
16217,16281,16090,16090,1669129200,329.02306260
16162,16261,16148,16226,1669132800,128.59381721
16078,16187,16060,16160,1669136400,130.36970141
16124,16146,16046,16077,1669140000,135.13721337
16150,16207,16093,16125,1669143600,152.95632422
16120,16166,16119,16150,1669147200,59.29287768
16129,16148,16071,16119,1669150800,88.40511464
16163,16207,16079,16129,1669154400,130.76546988
16197,16209,16142,16163,1669158000,81.94600829
16175,16232,16158,16199,1669161600,63.73380958
16200,16207,16150,16172,1669165200,62.06547151
16485,16507,16193,16201,1669168800,373.17939977
16558,16562,16444,16493,1669172400,151.20870509
16482,16560,16471,16556,1669176000,113.47135367
16445,16503,16434,16487,1669179600,81.57788896
16479,16489,16432,16451,1669183200,61.45659333
16555,16607,16446,16479,1669186800,278.79795990
16525,16594,16479,16560,1669190400,155.36345540
16540,16564,16513,16522,1669194000,107.28515530
16573,16619,16514,16541,1669197600,170.75484488
16575,16602,16556,16573,1669201200,72.45313383
16498,16584,16475,16576,1669204800,87.14199437
16398,16523,16390,16492,1669208400,165.27563074
16456,16463,16343,16390,1669212000,124.30718638
16416,16485,16402,16459,1669215600,96.88793633
16334,16444,16331,16417,1669219200,229.11438904
16373,16375,16334,16339,1669222800,149.95724197
16525,16546,16370,16371,1669226400,112.43175218
16454,16640,16388,16519,1669230000,383.87637512
16595,16595,16416,16453,1669233600,171.59606215
16472,16594,16471,16594,1669237200,94.24932900
16492,16505,16445,16472,1669240800,75.04931557
16603,16647,16482,16491,1669244400,124.05814721
16538,16606,16525,16594,1669248000,56.83134504
16734,16770,16527,16546,1669251600,316.58549501
16679,16783,16665,16737,1669255200,133.61677429
16703,16750,16673,16683,1669258800,71.62464001
16681,16724,16648,16701,1669262400,89.11569197
16644,16686,16636,16683,1669266000,78.00689718
16694,16700,16628,16645,1669269600,49.92790172
16607,16696,16604,16696,1669273200,61.17267783
16572,16624,16514,16608,1669276800,126.47591814
16585,16598,16546,16575,1669280400,75.06708409
16537,16595,16492,16581,1669284000,89.18579771
16558,16561,16524,16537,1669287600,28.44145242
16524,16564,16491,16554,1669291200,51.60022027
16573,16586,16521,16524,1669294800,71.27268760
16523,16579,16456,16573,1669298400,131.97512642
16545,16560,16491,16522,1669302000,89.55600681
16610,16648,16511,16545,1669305600,216.87765534
16577,16646,16574,16610,1669309200,105.75196574
16576,16590,16537,16575,1669312800,60.19051014
16563,16580,16546,16570,1669316400,29.48854740
16553,16578,16544,16567,1669320000,34.91287840
16543,16560,16529,16552,1669323600,42.22051941
16596,16616,16535,16542,1669327200,67.52692589
16591,16605,16555,16597,1669330800,64.05974287
16517,16604,16505,16589,1669334400,75.05000288
16512,16539,16505,16517,1669338000,23.45866844
16514,16517,16465,16517,1669341600,43.37340610
16477,16513,16468,16513,1669345200,20.97963053
16366,16487,16353,16477,1669348800,98.72121522
16354,16404,16354,16376,1669352400,64.83260074
16415,16424,16339,16353,1669356000,87.62088214
16450,16455,16409,16416,1669359600,112.59933605
16440,16477,16419,16451,1669363200,73.53147813
16435,16466,16430,16440,1669366800,55.69340992
16463,16495,16405,16436,1669370400,117.87673425
16519,16566,16462,16463,1669374000,131.43450568
16501,16566,16492,16523,1669377600,88.01820107
16470,16499,16463,16496,1669381200,66.24059768
16522,16527,16427,16472,1669384800,116.53892442
16498,16546,16468,16523,1669388400,159.02032957
16473,16499,16450,16497,1669392000,96.68501526
16501,16516,16462,16471,1669395600,120.45394999
16483,16509,16471,16501,1669399200,76.22989058
16512,16527,16483,16483,1669402800,91.15894153
16519,16597,16509,16514,1669406400,132.11901866
16493,16526,16487,16518,1669410000,53.84047216
16513,16521,16477,16493,1669413600,49.83163611
16508,16556,16489,16515,1669417200,88.12623280
16568,16570,16502,16511,1669420800,87.95413804
16620,16685,16567,16567,1669424400,151.96465830
16617,16648,16614,16624,1669428000,49.38063982
16613,16630,16597,16617,1669431600,40.28977381
16620,16628,16598,16613,1669435200,35.88776149
16620,16636,16616,16622,1669438800,30.27028418
16544,16621,16531,16621,1669442400,77.50855314
16575,16584,16529,16544,1669446000,41.48096062
16567,16585,16567,16576,1669449600,53.41283199
16582,16590,16567,16567,1669453200,34.34775940
16591,16622,16582,16582,1669456800,41.53952019
16570,16594,16555,16590,1669460400,64.42617777
16576,16582,16556,16570,1669464000,64.15191703
16594,16599,16575,16576,1669467600,40.94255930
16558,16677,16542,16593,1669471200,107.01137715
16505,16567,16483,16549,1669474800,85.93771905
16499,16519,16493,16505,1669478400,34.36606837
16511,16514,16491,16498,1669482000,15.12298649
16467,16513,16458,16510,1669485600,35.73567002
16481,16483,16420,16463,1669489200,67.73018720
16499,16500,16480,16480,1669492800,56.19448053
16509,16531,16498,16499,1669496400,55.59496137
16419,16511,16387,16509,1669500000,140.54989101
16454,16473,16418,16418,1669503600,91.84043384
16462,16487,16449,16451,1669507200,53.35647793
16480,16496,16462,16462,1669510800,31.76852796
16521,16521,16482,16482,1669514400,38.92297470
16518,16552,16518,16520,1669518000,55.03849671
16561,16584,16519,16519,1669521600,69.78835030
16533,16566,16533,16556,1669525200,45.05882765
16556,16582,16535,16535,1669528800,37.82942779
16561,16564,16552,16555,1669532400,12.03852608
16524,16570,16520,16561,1669536000,44.14567456
16518,16533,16513,16523,1669539600,21.49762317
16536,16574,16511,16518,1669543200,65.10503010
16540,16546,16523,16533,1669546800,29.31731172
16551,16562,16535,16541,1669550400,17.25257576
